id,time_casa,time_fora,data_hora_jogo,gols_casa,gols_fora,status
2026033,Brasil,Tunísia,2026-07-01T15:00:00+00:00,,,SCHEDULED
2026034,Marrocos,Irã,2026-07-01T18:00:00+00:00,,,SCHEDULED
2026035,México,Irlanda,2026-07-01T21:00:00+00:00,,,SCHEDULED
2026036,Argentina,Panamá,2026-07-02T16:00:00+00:00,,,SCHEDULED
2026037,Argélia,Turquia,2026-07-02T19:00:00+00:00,,,SCHEDULED
2026038,Inglaterra,Canadá,2026-07-02T22:00:00+00:00,,,SCHEDULED
2026039,Croácia,Ucrânia,2026-07-03T15:00:00+00:00,,,SCHEDULED
2026040,Uruguai,Romênia,2026-07-03T18:00:00+00:00,,,SCHEDULED
2026041,Japão,Nova Zelândia,2026-07-03T21:00:00+00:00,,,SCHEDULED
2026042,Espanha,Costa Rica,2026-07-04T14:00:00+00:00,,,SCHEDULED
2026043,Coreia do Sul,Gales,2026-07-04T17:00:00+00:00,,,SCHEDULED
2026044,Alemanha,Nova Zelândia,2026-07-04T20:00:00+00:00,,,SCHEDULED
2026045,Camarões,República Tcheca,2026-07-05T15:00:00+00:00,,,SCHEDULED
2026046,Bélgica,Honduras,2026-07-05T18:00:00+00:00,,,SCHEDULED
2026047,Arábia Saudita,Egito,2026-07-05T21:00:00+00:00,,,SCHEDULED
2026048,Portugal,Escócia,2026-07-06T16:00:00+00:00,,,SCHEDULED
2026049,Gana,Haiti,2026-07-06T19:00:00+00:00,,,SCHEDULED
2026050,Holanda,Turquia,2026-07-06T22:00:00+00:00,,,SCHEDULED
2026051,Equador,Angola,2026-07-07T17:00:00+00:00,,,SCHEDULED
2026052,Áustria,Hungria,2026-07-07T20:00:00+00:00,,,SCHEDULED
2026053,Nigéria,Canadá,2026-07-08T15:00:00+00:00,,,SCHEDULED
2026054,França,Colômbia,2026-07-08T18:00:00+00:00,,,SCHEDULED
2026055,Austrália,Gales,2026-07-08T21:00:00+00:00,,,SCHEDULED
2026056,Inglaterra,Ucrânia,2026-07-09T16:00:00+00:00,,,SCHEDULED
2026057,Croácia,Canadá,2026-07-09T19:00:00+00:00,,,SCHEDULED
2026058,Argentina,Turquia,2026-07-09T22:00:00+00:00,,,SCHEDULED
2026059,Argélia,Panamá,2026-07-10T15:00:00+00:00,,,SCHEDULED
2026060,Alemanha,República Tcheca,2026-07-10T18:00:00+00:00,,,SCHEDULED
2026061,Camarões,Nova Zelândia,2026-07-10T21:00:00+00:00,,,SCHEDULED
2026062,Espanha,Gales,2026-07-11T14:00:00+00:00,,,SCHEDULED
2026063,Coreia do Sul,Costa Rica,2026-07-11T17:00:00+00:00,,,SCHEDULED
2026064,Portugal,Haiti,2026-07-11T20:00:00+00:00,,,SCHEDULED
2026065,Gana,Escócia,2026-07-12T15:00:00+00:00,,,SCHEDULED
2026066,Uruguai,Nova Zelândia,2026-07-12T18:00:00+00:00,,,SCHEDULED
2026067,Japão,Romênia,2026-07-12T21:00:00+00:00,,,SCHEDULED
2026068,Bélgica,Egito,2026-07-13T16:00:00+00:00,,,SCHEDULED
2026069,Arábia Saudita,Honduras,2026-07-13T19:00:00+00:00,,,SCHEDULED
2026070,Holanda,Angola,2026-07-13T22:00:00+00:00,,,SCHEDULED
2026071,Equador,Turquia,2026-07-14T18:00:00+00:00,,,SCHEDULED
2026072,Áustria,Canadá,2026-07-14T21:00:00+00:00,,,SCHEDULED
